model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_gold_turns,first_gold_turn,last_gold_turn,gold_coverage
gpt-5.5,low,observational-memory-gpt54mini-low,aiomonitor-task-snapshots-diff,0,found_kept_failed,-1,0.0,44,20,4,33,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,anko-default-function-arguments,0,found_kept_failed,0,0.9834710743801653,49,7,13,38,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,anko-default-function-arguments,1,found_kept_failed,0,0.9421487603305785,42,6,12,36,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,anko-default-function-arguments,2,found_kept_failed,0,0.9917355371900827,41,10,10,36,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,anko-typed-variable-bindings,0,found_kept_failed,0,0.941747572815534,45,23,3,35,0.778
gpt-5.5,low,observational-memory-gpt54mini-low,anko-typed-variable-bindings,1,found_kept_failed,0,0.9611650485436893,53,26,3,48,0.889
gpt-5.5,low,observational-memory-gpt54mini-low,anko-typed-variable-bindings,2,found_kept_failed,0,0.9805825242718447,41,19,5,34,0.778
gpt-5.5,low,observational-memory-gpt54mini-low,arcane-drift-detection-baselines,0,found_kept_failed,0,0.9880952380952381,55,23,3,50,0.833
gpt-5.5,low,observational-memory-gpt54mini-low,arktype-json-schema-refs-dependencies,0,found_kept_failed,0,0.9988262910798122,47,20,5,43,0.714
gpt-5.5,low,observational-memory-gpt54mini-low,awilix-async-container-initialization,0,solved,1,1.0,34,20,3,24,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,awilix-async-container-initialization,1,solved,1,1.0,35,16,3,28,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,awilix-async-container-initialization,2,solved,1,1.0,27,16,3,23,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-incremental-cache-control,0,found_kept_failed,0,0.9614325068870524,33,17,3,27,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-interprocedural-taint-checks,0,solved,1,1.0,36,8,4,34,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-structured-nosec-directives,0,found_kept_failed,0,0.9886039886039886,43,17,3,39,0.571
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-structured-nosec-directives,1,found_kept_failed,0,0.9971509971509972,45,15,4,39,0.571
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-structured-nosec-directives,2,found_kept_failed,0,0.9857549857549858,43,15,3,36,0.571
gpt-5.5,low,observational-memory-gpt54mini-low,boa-hierarchical-evaluation-cancellation,0,solved,1,1.0,80,49,4,74,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,boa-hierarchical-evaluation-cancellation,1,solved,1,1.0,76,46,4,69,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,boa-hierarchical-evaluation-cancellation,2,found_kept_failed,0,0.2916666666666667,49,29,3,41,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,cattrs-partial-structuring-recovery,0,solved,1,1.0,44,19,3,38,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,cattrs-partial-structuring-recovery,1,solved,1,1.0,40,13,4,35,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,cattrs-partial-structuring-recovery,2,solved,1,1.0,35,12,3,29,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,clack-async-autocomplete-options,0,found_then_lost,0,0.9848275862068966,29,12,3,21,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,clack-async-autocomplete-options,1,found_kept_failed,0,0.9875862068965517,40,22,3,35,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,clack-async-autocomplete-options,2,found_kept_failed,0,0.9889655172413793,30,16,3,22,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,claude-code-by-agents-recursive-delegation,0,solved,1,1.0,28,9,3,21,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,cliffy-config-file-parsing,0,found_kept_failed,0,0.9959016393442623,58,22,2,54,0.5
gpt-5.5,low,observational-memory-gpt54mini-low,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9992259140169109,23,5,3,18,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,csstree-shorthand-expansion-compression,1,found_kept_failed,0,0.9997022746218888,41,14,3,38,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,csstree-shorthand-expansion-compression,2,found_kept_failed,0,0.9997022746218888,26,9,4,21,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,dasel-html-document-format,0,found_then_lost,0,0.7029360967184801,46,8,5,17,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9980970504281637,34,15,4,29,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,drizzle-orm-window-function-builders,0,solved,1,1.0,43,15,6,36,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,dynamodb-toolbox-conditional-attribute-requirements,0,found_kept_failed,0,0.9938366718027735,57,25,5,46,0.562
gpt-5.5,low,observational-memory-gpt54mini-low,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9861963190184049,74,52,3,69,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,dynamodb-toolbox-lazy-recursive-schemas,1,found_kept_failed,0,0.9831288343558282,65,37,3,60,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,dynamodb-toolbox-lazy-recursive-schemas,2,found_kept_failed,0,0.9992331288343558,87,52,3,82,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.905982905982906,85,44,4,78,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,effect-sse-httpapi-streaming,1,found_then_lost,0,0.5982905982905983,64,24,5,45,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,effect-sse-httpapi-streaming,2,found_kept_failed,0,0.9145299145299145,63,31,4,57,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,eicrud-keyset-pagination-cursor,0,found_kept_failed,0,0.967032967032967,37,15,6,30,0.571
gpt-5.5,low,observational-memory-gpt54mini-low,etree-xml-diff-patch,0,found_kept_failed,0,0.2537313432835821,20,17,1,18,0.25
gpt-5.5,low,observational-memory-gpt54mini-low,etree-xml-diff-patch,1,found_kept_failed,0,0.9850746268656716,18,13,2,16,0.25
gpt-5.5,low,observational-memory-gpt54mini-low,etree-xml-diff-patch,2,found_kept_failed,0,0.9253731343283582,16,12,2,14,0.25
gpt-5.5,low,observational-memory-gpt54mini-low,expr-try-catch-errors,0,found_kept_failed,0,0.9989298203303991,52,31,4,46,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,fastapi-deprecation-response-headers,0,solved,1,1.0,65,38,4,59,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,fastapi-implicit-head-options,0,found_kept_failed,0,0.9971671388101983,38,11,1,30,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,fastapi-implicit-head-options,1,found_kept_failed,0,0.9911866540761725,47,28,1,42,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,fastapi-implicit-head-options,2,found_kept_failed,0,0.994649039974819,59,22,1,51,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,fd-deterministic-multi-key-sorting,0,found_kept_failed,0,0.9736842105263158,36,17,4,27,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,fd-deterministic-multi-key-sorting,1,found_then_lost,0,0.993421052631579,34,17,4,25,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,fd-deterministic-multi-key-sorting,2,found_then_lost,0,0.993421052631579,35,15,3,21,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,geo-shapeindex-serialization,0,solved,1,1.0,36,4,8,14,0.429
gpt-5.5,low,observational-memory-gpt54mini-low,go-critic-doc-link-checker,0,solved,1,1.0,34,13,3,28,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,go-genai-streamed-function-args,0,found_kept_failed,0,0.9411764705882353,34,16,6,32,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,go-git-worktree-merge-conflicts,0,found_kept_failed,0,0.8947368421052632,42,16,10,41,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,goreleaser-retry-publish-auditing,0,solved,1,1.0,43,18,3,26,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,goreleaser-retry-publish-auditing,1,solved,1,1.0,39,17,3,33,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,goreleaser-retry-publish-auditing,2,solved,1,1.0,30,13,3,24,0.5
gpt-5.5,low,observational-memory-gpt54mini-low,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9975845410628019,44,22,4,38,0.714
gpt-5.5,low,observational-memory-gpt54mini-low,gql-incremental-graphql-delivery,1,found_kept_failed,0,0.9963768115942029,39,19,4,33,0.857
gpt-5.5,low,observational-memory-gpt54mini-low,gql-incremental-graphql-delivery,2,found_kept_failed,0,0.9842995169082126,51,28,4,46,0.714
gpt-5.5,low,observational-memory-gpt54mini-low,happy-dom-abort-pending-body-reads,0,found_then_lost,0,0.9776536312849162,40,10,4,21,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,happy-dom-deterministic-intersectionobserver,0,solved,1,1.0,21,4,6,13,0.25
gpt-5.5,low,observational-memory-gpt54mini-low,helm-array-merge-strategies,0,found_kept_failed,0,0.9661016949152542,46,28,4,41,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,helm-unified-manifest-stream,0,solved,1,1.0,48,22,3,34,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-deterministic-cookie-store,0,found_kept_failed,0,0.994269340974212,38,16,3,31,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-multipart-response-parsing,0,solved,1,1.0,40,13,3,27,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-streaming-json-iteration,0,found_then_lost,0,0.9986772486772487,32,9,4,23,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-streaming-json-iteration,1,found_kept_failed,0,0.998015873015873,48,11,4,36,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-streaming-json-iteration,2,found_kept_failed,0,0.9993386243386243,36,8,3,30,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,igel-persist-feature-schema,0,found_kept_failed,0,0.3076923076923077,40,19,4,34,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,ink-grid-box-layout,0,found_then_lost,0,0.7162162162162162,48,2,2,11,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,ipython-session-bundle-replay,0,found_then_lost,0,0.9565217391304348,36,7,5,21,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,katex-multicolumn-array-spans,0,found_then_lost,0,0.9942279942279942,31,13,2,22,0.5
gpt-5.5,low,observational-memory-gpt54mini-low,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.9761904761904762,27,19,2,25,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,kea-atomic-signal-selectors,0,found_then_lost,0,0.9337748344370861,31,7,2,16,0.625
gpt-5.5,low,observational-memory-gpt54mini-low,kea-atomic-signal-selectors,1,found_then_lost,0,0.9337748344370861,46,15,2,21,0.625
gpt-5.5,low,observational-memory-gpt54mini-low,kea-atomic-signal-selectors,2,found_then_lost,0,0.9933774834437086,52,17,4,36,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,49,18,2,43,0.556
gpt-5.5,low,observational-memory-gpt54mini-low,kgateway-consistent-hash-policy,1,found_then_lost,0,0.9907407407407407,35,11,2,24,0.556
gpt-5.5,low,observational-memory-gpt54mini-low,kgateway-consistent-hash-policy,2,found_kept_failed,0,0.9907407407407407,36,14,2,30,0.556
gpt-5.5,low,observational-memory-gpt54mini-low,kombu-single-active-consumer-priority,0,found_kept_failed,0,0.99800796812749,45,27,4,40,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,kombu-single-active-consumer-priority,1,found_kept_failed,0,0.99933598937583,39,27,3,34,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,kombu-single-active-consumer-priority,2,found_kept_failed,0,0.99867197875166,35,24,3,30,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,kombu-virtual-queue-dead-lettering,0,found_kept_failed,0,0.9946236559139785,41,22,3,35,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,koota-composite-trait-aspects,0,found_kept_failed,0,0.9372197309417041,89,63,3,85,0.875
gpt-5.5,low,observational-memory-gpt54mini-low,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.8944723618090452,37,24,5,33,0.857
gpt-5.5,low,observational-memory-gpt54mini-low,koota-deferred-mutation-buffer,1,found_kept_failed,0,0.9698492462311558,29,16,4,25,0.857
gpt-5.5,low,observational-memory-gpt54mini-low,koota-deferred-mutation-buffer,2,found_kept_failed,0,0.949748743718593,39,20,3,31,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,koota-entity-snapshot-rollback,0,solved,1,1.0,53,20,3,45,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,koota-pair-relation-tracking,0,found_kept_failed,0,0.9285714285714286,69,34,3,61,0.833
gpt-5.5,low,observational-memory-gpt54mini-low,koota-query-predicates,0,found_kept_failed,0,0.9813953488372092,59,38,3,55,0.867
gpt-5.5,low,observational-memory-gpt54mini-low,kysely-window-grouping-helpers,0,found_kept_failed,0,0.9855072463768116,74,39,5,69,0.733
gpt-5.5,low,observational-memory-gpt54mini-low,langchain-request-coalescing,0,found_kept_failed,0,0.9929078014184397,41,19,2,34,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,langchain-request-coalescing,1,found_kept_failed,0,0.9858156028368794,35,16,2,28,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,langchain-request-coalescing,2,found_kept_failed,0,0.9964539007092199,43,18,2,38,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,mashumaro-flattened-dataclass-fields,0,found_kept_failed,0,0.9999667553191489,49,22,5,44,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,mashumaro-flattened-dataclass-fields,1,found_then_lost,0,0.9998670212765958,37,14,5,27,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,mashumaro-flattened-dataclass-fields,2,found_kept_failed,0,0.9999002659574469,56,21,5,43,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,meriyah-explicit-resource-declarations,0,found_kept_failed,0,0.9998641251601382,58,28,3,53,0.833
gpt-5.5,low,observational-memory-gpt54mini-low,mnamer-daemon-watch-lifecycle,0,found_then_lost,0,0.9972972972972973,21,7,2,15,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,mobly-grouped-test-barriers,0,found_kept_failed,0,0.979706877113867,31,19,4,27,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,narwhals-rolling-window-suite,0,solved,1,1.0,56,24,4,50,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,numba-stencil-boundary-modes,0,found_then_lost,0,0.9883177570093458,24,6,2,7,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-auto-table-of-contents,0,found_kept_failed,0,0.9650170648464164,34,8,3,32,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-auto-table-of-contents,1,found_kept_failed,0,0.9650170648464164,28,8,2,25,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-auto-table-of-contents,2,found_kept_failed,0,0.9650170648464164,33,8,3,30,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-link-format-conversion,0,found_kept_failed,0,0.9991603694374476,51,9,13,45,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-scoped-ignore-markers,0,found_kept_failed,0,0.9716981132075472,30,7,4,27,0.5
gpt-5.5,low,observational-memory-gpt54mini-low,ofetch-per-origin-circuit-breaker,0,solved,1,1.0,42,24,3,37,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,onedump-dump-encryption-pipeline,0,found_then_lost,0,0.9659090909090909,28,13,3,20,0.727
gpt-5.5,low,observational-memory-gpt54mini-low,onedump-dump-encryption-pipeline,1,found_kept_failed,0,0.8863636363636364,32,13,3,26,0.636
gpt-5.5,low,observational-memory-gpt54mini-low,onedump-dump-encryption-pipeline,2,found_kept_failed,0,0.9204545454545454,23,11,3,17,0.455
gpt-5.5,low,observational-memory-gpt54mini-low,opa-rego-rule-profiling,0,found_kept_failed,0,0.9032258064516129,46,19,6,36,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,opa-template-string-reconstruction,0,found_kept_failed,0,0.8888888888888888,62,10,6,57,0.25
gpt-5.5,low,observational-memory-gpt54mini-low,optique-conditional-option-dependencies,0,found_kept_failed,0,0.9951690821256038,51,33,2,47,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,oxvg-structural-selector-preservation,0,found_kept_failed,0,0.9558823529411765,57,14,4,48,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,oxvg-structural-selector-preservation,1,found_kept_failed,0,0.9705882352941176,44,12,3,38,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,oxvg-structural-selector-preservation,2,found_kept_failed,0,0.9264705882352942,31,7,3,24,0.667
gpt-5.5,low,observational-memory-gpt54mini-low,participle-grammar-conflict-analysis,0,found_kept_failed,0,0.6844262295081968,23,6,2,20,0.143
gpt-5.5,low,observational-memory-gpt54mini-low,pebble-durability-wait-apis,0,found_kept_failed,0,0.883495145631068,61,44,2,58,0.875
gpt-5.5,low,observational-memory-gpt54mini-low,pest-character-class-coalescing,0,found_kept_failed,0,0.9915254237288136,60,32,4,49,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,prometheus-transactional-reload-status,0,found_then_lost,0,0.9896907216494846,59,23,4,43,0.3
gpt-5.5,low,observational-memory-gpt54mini-low,prometheus-typed-label-sorting,0,solved,1,1.0,29,4,4,11,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,prometheus-typed-label-sorting,1,found_then_lost,0,0.9555555555555556,27,4,3,11,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,prometheus-typed-label-sorting,2,solved,1,1.0,30,3,6,10,0.333
gpt-5.5,low,observational-memory-gpt54mini-low,psd-tools-blend-range-api,0,found_kept_failed,0,0.9970703125,32,14,3,24,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,pwntools-tube-multiplexing,0,found_kept_failed,0,0.972972972972973,31,12,2,26,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,python-statemachine-state-data-scoping,0,solved,1,1.0,72,42,2,65,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,python-statemachine-state-data-scoping,1,solved,1,1.0,71,45,2,63,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,python-statemachine-state-data-scoping,2,found_kept_failed,0,0.9904270986745214,80,46,4,72,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,query-persist-restored-query-state,0,solved,1,1.0,54,17,3,25,0.833
gpt-5.5,low,observational-memory-gpt54mini-low,quill-shared-toolbar-focus,0,solved,1,1.0,38,18,3,31,0.375
gpt-5.5,low,observational-memory-gpt54mini-low,returns-validated-error-accumulation,0,found_kept_failed,0,0.9863636363636363,33,13,2,26,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,scc-bounded-memory-spilling,0,found_kept_failed,0,0.9905362776025236,36,24,4,34,0.25
gpt-5.5,low,observational-memory-gpt54mini-low,scriggo-method-declarations,0,found_kept_failed,0,0.9525979945305378,48,30,2,44,0.611
gpt-5.5,low,observational-memory-gpt54mini-low,skrub-duration-encoding,0,found_then_lost,0,0.9996568291008923,42,19,4,30,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,sql-formatter-bigquery-pipe-formatting,0,found_kept_failed,0,0.9998256320836966,35,18,3,29,0.545
gpt-5.5,low,observational-memory-gpt54mini-low,sqlfmt-create-table-ddl-formatting,0,found_kept_failed,0,0.9969348659003832,35,7,4,28,0.222
gpt-5.5,low,observational-memory-gpt54mini-low,sqlite-utils-safe-import-checkpoints,0,found_kept_failed,0,0.9981785063752276,57,29,4,51,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,superjson-error-stack-serialization,0,found_kept_failed,0,0.9948979591836735,22,12,2,17,0.778
gpt-5.5,low,observational-memory-gpt54mini-low,task-task-graph-export,0,found_kept_failed,0,0.8918918918918919,39,17,4,37,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,tengo-callable-instance-isolation,0,found_kept_failed,0,0.993103448275862,46,29,2,44,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,tengo-destructuring-bindings,0,found_kept_failed,0,0.8116591928251121,52,40,2,50,0.833
gpt-5.5,low,observational-memory-gpt54mini-low,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.9754098360655737,34,13,2,31,0.375
gpt-5.5,low,observational-memory-gpt54mini-low,termenv-preserve-ansi-resets,1,found_kept_failed,0,0.9262295081967213,30,7,2,27,0.375
gpt-5.5,low,observational-memory-gpt54mini-low,termenv-preserve-ansi-resets,2,found_then_lost,0,0.9754098360655737,24,10,2,16,0.5
gpt-5.5,low,observational-memory-gpt54mini-low,testem-bail-on-test-failure,0,found_kept_failed,0,0.9844559585492227,59,40,3,55,0.833
gpt-5.5,low,observational-memory-gpt54mini-low,testem-per-launcher-reports,0,found_then_lost,0,0.99812734082397,35,20,4,25,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,textual-kitty-key-phases,0,found_kept_failed,0,0.95,35,12,4,28,0.714
gpt-5.5,low,observational-memory-gpt54mini-low,textual-kitty-key-phases,1,found_kept_failed,0,0.9875,39,11,3,30,0.571
gpt-5.5,low,observational-memory-gpt54mini-low,textual-kitty-key-phases,2,found_kept_failed,0,0.875,47,22,3,43,0.714
gpt-5.5,low,observational-memory-gpt54mini-low,textual-richlog-follow-state,0,found_kept_failed,0,0.9615384615384616,45,14,4,34,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,tomlkit-toml-table-converters,0,found_kept_failed,0,0.994140625,33,10,12,28,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,true-myth-iterable-collection-combinators,0,solved,1,1.0,24,6,2,14,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,ts-pattern-match-each,0,solved,1,1.0,18,3,2,6,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,ts-pattern-match-each,1,solved,1,1.0,22,5,2,10,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,ts-pattern-match-each,2,solved,1,1.0,24,5,3,8,0.8
gpt-5.5,low,observational-memory-gpt54mini-low,updo-policy-alerting,0,found_kept_failed,0,0.9928571428571429,30,15,2,23,0.444
gpt-5.5,low,observational-memory-gpt54mini-low,updo-policy-alerting,1,found_kept_failed,0,0.9928571428571429,31,13,3,25,0.444
gpt-5.5,low,observational-memory-gpt54mini-low,updo-policy-alerting,2,found_then_lost,0,0.9928571428571429,32,15,2,23,0.556
gpt-5.5,low,observational-memory-gpt54mini-low,valibot-recursive-schema-composition,0,found_kept_failed,0,0.9954337899543378,52,24,5,44,0.368
gpt-5.5,low,observational-memory-gpt54mini-low,vitest-duration-sharding,0,solved,1,1.0,49,28,2,46,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,vulture-persistent-analysis-cache,0,found_kept_failed,0,0.987460815047022,27,13,2,22,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,wasmi-trap-coredumps,0,found_kept_failed,0,0.825,42,20,3,38,0.714
gpt-5.5,low,observational-memory-gpt54mini-low,wasmi-trap-coredumps,1,found_kept_failed,0,0.825,48,26,4,40,0.714
gpt-5.5,low,observational-memory-gpt54mini-low,wasmi-trap-coredumps,2,found_kept_failed,0,0.825,43,22,3,39,0.571
gpt-5.5,low,observational-memory-gpt54mini-low,wazero-multi-module-snapshots,0,solved,1,1.0,24,7,9,19,0.143
gpt-5.5,low,observational-memory-gpt54mini-low,wazero-multi-module-snapshots,1,solved,1,1.0,16,4,7,12,0.143
gpt-5.5,low,observational-memory-gpt54mini-low,wazero-multi-module-snapshots,2,solved,1,1.0,17,2,9,10,0.143
gpt-5.5,low,observational-memory-gpt54mini-low,yaegi-go-embed-directives,0,found_kept_failed,0,0.9895833333333334,71,10,3,60,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,yjs-map-conflict-detection,0,solved,1,1.0,53,30,3,45,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,yjs-map-conflict-detection,1,solved,1,1.0,67,30,3,47,0.875
gpt-5.5,low,observational-memory-gpt54mini-low,yjs-map-conflict-detection,2,found_kept_failed,0,0.9958333333333333,51,29,3,47,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,ytt-jsonpath-query-api,0,solved,1,1.0,31,5,14,27,0.4
gpt-5.5,low,observational-memory-gpt54-low,actionlint-action-pinning-lint,0,solved,1,1.0,40,20,2,37,1.0
gpt-5.5,low,observational-memory-gpt54-low,actionlint-action-pinning-lint,1,solved,1,1.0,31,18,2,29,1.0
gpt-5.5,low,observational-memory-gpt54-low,actionlint-action-pinning-lint,2,solved,1,1.0,45,26,2,43,1.0
gpt-5.5,low,observational-memory-gpt54-low,anko-default-function-arguments,0,found_then_lost,0,0.9834710743801653,39,3,18,21,0.333
gpt-5.5,low,observational-memory-gpt54-low,anko-default-function-arguments,1,found_kept_failed,0,0.9834710743801653,37,6,11,30,0.333
gpt-5.5,low,observational-memory-gpt54-low,anko-default-function-arguments,2,found_kept_failed,0,0.9917355371900827,38,6,17,34,0.333
gpt-5.5,low,observational-memory-gpt54-low,awilix-async-container-initialization,0,solved,1,1.0,29,15,2,18,1.0
gpt-5.5,low,observational-memory-gpt54-low,awilix-async-container-initialization,1,found_then_lost,0,0.9946236559139785,40,16,3,22,1.0
gpt-5.5,low,observational-memory-gpt54-low,awilix-async-container-initialization,2,solved,1,1.0,33,16,2,25,1.0
gpt-5.5,low,observational-memory-gpt54-low,boa-hierarchical-evaluation-cancellation,0,solved,1,1.0,60,33,4,52,1.0
gpt-5.5,low,observational-memory-gpt54-low,boa-hierarchical-evaluation-cancellation,1,found_kept_failed,0,0.2916666666666667,63,35,4,59,0.8
gpt-5.5,low,observational-memory-gpt54-low,boa-hierarchical-evaluation-cancellation,2,found_kept_failed,0,0.875,69,44,3,64,1.0
gpt-5.5,low,observational-memory-gpt54-low,cattrs-partial-structuring-recovery,0,solved,1,1.0,40,15,3,33,0.667
gpt-5.5,low,observational-memory-gpt54-low,cattrs-partial-structuring-recovery,1,found_kept_failed,0,0.9736842105263158,47,18,4,41,0.667
gpt-5.5,low,observational-memory-gpt54-low,cattrs-partial-structuring-recovery,2,found_kept_failed,0,0.9342105263157895,45,20,4,41,0.667
gpt-5.5,low,observational-memory-gpt54-low,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9976993865030674,86,49,3,73,0.75
gpt-5.5,low,observational-memory-gpt54-low,dynamodb-toolbox-lazy-recursive-schemas,1,found_kept_failed,0,0.9861963190184049,94,52,3,91,0.75
gpt-5.5,low,observational-memory-gpt54-low,dynamodb-toolbox-lazy-recursive-schemas,2,found_kept_failed,0,0.9808282208588958,81,51,3,78,0.833
gpt-5.5,low,observational-memory-gpt54-low,fastapi-implicit-head-options,0,found_kept_failed,0,0.9959080893925086,60,35,1,57,0.75
gpt-5.5,low,observational-memory-gpt54-low,fastapi-implicit-head-options,1,found_kept_failed,0,0.9943342776203966,76,30,2,71,0.75
gpt-5.5,low,observational-memory-gpt54-low,fastapi-implicit-head-options,2,found_kept_failed,0,0.9949638023292414,74,33,2,69,0.75
gpt-5.5,low,observational-memory-gpt54-low,httpx-streaming-json-iteration,0,found_then_lost,0,0.9986772486772487,41,12,4,29,0.333
gpt-5.5,low,observational-memory-gpt54-low,httpx-streaming-json-iteration,1,solved,1,1.0,29,9,3,22,0.333
